narration_id,narration_text
1,"There is one toilet inside a room. There is a door to one side and a garbage can to the other side of the toilet. The toilet is in a divot in the white and blue tiled wall, like it is a stall, but there is no door in front of it."
2,There is a room with a lot of similar machinery. On some surfaces there are multiple dials. There are steps leading somewhere and on the roof near the steps are a large amount of tubes and valves.
3,"There is a large empty room in some sort of dining area. There are many white tables with red and blue seats. All tables of grey tablemats and a single plant with a pamphlet positioned to stand up. Some tables have cutlery while others do not. Other than the seats, and a distant wall with some colour, the room has neutral shades, the floor is black, and walls and roof are white."
4,"A man in a red checkered shirt sits at his bed on his phone. He stays on it for a moment before putting it to his bedside table, getting up from the bed and retrieving a remote from a table across the room. He uses the remote to turn on a wall mounted TV positioned in front and to the right of hid bed. He then sits back in bed with the remote in hand and begins pressing buttons on it."
5,"There is a white washroom covered in blood. The words RUN are written in blood on the wall above the toilet. Next to the toilet is what looks like a washing machine with a large pool of blood and an axe on top of it. There is blood also on the toilet seat, the sink, the mirror, most of the walls , the shower curtains and on the floor as well as leading up to the door."
6,"Pigeons are intitially within a shed on their perches, but start to fly down to some sort of feeder, one by one. As one of the pigeons flies down, something happens and causes the pigeons to fly away from the feeder and back up to their perches.There is an open doorway next to the pigeons feeder."
7,"A heavily armoured automatic door opens to reveal a person in an orange hazmat suit. Once the door fully opens the person steps out of the door and presses a button to close the door. Simultaneously an illuminated sign is flickering. The person waits for the door to close before proceeding onward to another button, once they press it another heavily armoured door begins to open."
8,There is a forest with some snow around. There are birds chirping the background. Some trees don't have leaves but the ones further and to the right are pine trees and still have theirs.
9,A firetruck and an accompanying red van are backing up into their respective spaces inside a fire station. The firetruck beeps and flashes its resversing lights as it backs into its unit. The yellow writing on the firetruck is not in English. 
10,"Two teams are playing soccer. One is wearing yellow jerseys the other is wearing orange.The ball is kicked towards one yellow team player and one orange team player. As the orange player positions to recieve the ball a yellow player fouls him and the referee calls this. The game stops momentarily, and the orange player stays on the ground for a moment before getting up. The orange team is awarded a freekick and another player wearing the number 5 takes it as the game resumes."
11,"There is a neighbourhood ahead and below. The view is as if the camera is positioned in a place high up. There are noises of construction in the background and there are two people below and to the right in a fenced off area. The streets look wet with rain and there is much overcast, making the scene gloomy."
12,"A person with long red hair is graffitiing a broken down building. The building is in terrible shape, the small tiled windows on the upper quarter are largely broken, there are vines overgrowing certain areas of the building as well. There is also some graffiti already on the building in blue, although small with the letters NbC. The person in the video continues to graffiti and takes a moment to look at it and shake the bottle of spray paint before continuing to add to it. They then take another pause before the video ends."
13,"There is a long tunnel, the roof is covered in white tiles and the wall is too although the tiles are different. A light approaches from the tunnel and comes closer. The source of the light is a person on a bike. They continue to move down the tunnel. Behind them are two people wearing black travelling down the tunnel."
14,"There is a large crowd inside some sort of gymnasium or event area surrounding a group of breakdancers. The lights are similar to a concerts, moving around to add to the preformance. There are large letters in fluorescent pink in the background. The breakdancers consist of 5 people, 4 in blue and 1 in white. One of the breakdancers in blue starts the preformance while the other 4 wait. once the initial part is done the other three start there routine while the 1 in white remains knelt. Eventually one of the three starts a solo portion and the others go to kneel with the one in white."
15,There is a very dark underpass with a person initially in frame of the camera but then moves off to the right into some forestry. A biker approaches and passes and a runner in a bright top comes from the opposing direction until they are scared and grabbed by the initial person. The runner screams but then starts to laugh as they are carried off camera.
16,"A person is walking on a trail in some shrubery with some trees around. As a person approaches from the other side of the trail where it is open greenery, the first person puts on a mask. They then position themselves behind a tree as the runner in a green top approaches. The masked individual then jumps out and grabs the runner as they scream. The masked person carries them behind the tree as the runner struggles to escape."
17,there is an indoor go kart track with a session going on. The racers pass by as their tires screech on the grey pavement. The track is outlined with black and green alternating borders.
18,"The room is largely white and cream coloured. there are 4 large storage doors and a silver trolly next to the doors. A person in a blue top and white pants with surgical gloves on comes into the room and opens one of the doors, revealing three trays with something bundled up inside a white back. The person pulls the middle tray slightly out and rests the door on the tray leaving it adjar and then leaves the room."
19,"5 people are walking through an automated sliding door, one of which is on a stretcher. A person in a bright red jacket and black pants leads the group, while another person in a bright yellow and red jacket and pants pulls the stretcher along. Once they pass through the first door another person in a red jacket and black pants begins to push the stretcher towards the other door. The second door reads STOP in red words, all other words are in a foreign language. The remaining two people are wearing yellow and red jackets and pants and accompany the stretcher as they move along."
