narration_id,narration_text
1,A bathroom with a toilet in the middle
2,A room full of meters and mechanical equipment
3,A restaurant room filled with tables and chairs 
4,A man sitting on his bed looking at his phone. The man gets up from the bed to pick up the TV remote and turns it on. He then sits back down on the bed. 
5,"A bathroom that has blood all over the walls, floor, sink, and shower. There is an axe in a puddle of blood."
6,A wooden room where multiple pigeons fly to and from perches on the far wall. 
7,"In a dark room, a door opens and a person with a hazmat suit is standing in another room. The person then walks through the door and walks toward a button on the right wall and presses it. Another door begins to open. "
8,"A winter/spring forest landscape with lots of trees with no leaves, moving in the wind. "
9,An ambulance and firetruck back into fire station's garage doors.
10,A soccer game is being played between a yellow and an orange team. A foul is whistled against the yellow team as a yellow and orange player collide. The orange team receives the ball and kicks it toward the yellow goalie.
11,"On a roof that is under construction during a windy, grey day. One hears machines being used in the background."
12,A person is spray painting graffiti on an abandoned building
13,In an underground tunnel where a biker peddles towards the camera and one can see people walking.
14,At a dance competition where a dance team is preforming in front of a large audience. Music is blaring and colourful lights fill the stage. 
15,Under a dark bridge. A biker rides by and a woman runs out from under the bridge immediately screaming as a person grabs her. The woman begins to laugh and the two people walk/run away still intertwined with each other. 
16,A male in a hoodie walks toward the camera and puts on a mask. The male then hides behind a tree.  A woman runs by and is tackled/grabbed by the male. The male pulls her behind the tree.
17,A go kart track where a group of people are racing in go karts. 
18,"In what looks like a medical facility. A women in scrubs walks towards freezer doors, opens one up and pulls a large gurney out of the freezer a little bit and then walks away. "
19,A group of paramedics bring in a person on a gurney into a hospital.
20,An eye doctor is completing an eye exam on a client.
21,"In a hospital, in a far room people are moving another person around. There are lots of staff waling around the hospital floor. "
22,A woman is walking outside the hospital doors and begins to cough frequently.
24,Outside a European church people walk by it.
25,"In a dance studio, a woman is completing a dance routine."
26,"Three horses are standing outside in a fenced off portion in the yard, connected to what seems to be a barn."
27,"At the base of a water slide, people in tubes finish taking the slide and walk off with their tubes. "
28,At a male stripper show. There is loud music and colourful lights. The men are preforming in front of a large audience who cheer loudly when the men rip their shirts off. 
29,"A crowd of people are sitting and standing around a ledge that overlooks a city. Music is playing, some people are drinking and smoking. "
30,Outside a tropical house people walk around it.
31,A woman walks to an area to feed 4 small animals that look to be cats or small dogs.
32,A woman walks toward an area to feed 4 animals that appear to be cats or small dogs. 
33,On a bridge over a highway. A person watches at the railings. Cars drive under and on the bridge.
34,5 people taking turns rock climbing on different walls. Some sit in the middle of the walls.
35,In a car dealership show room. Multiple cars are parked around the room. 
36,At a party. People are dressed very nicely. People are talking while Uptown Funk plays in the background. Colourful lights fill the room.
37,A person on a stage teaches a large group of people on a dance floor how to dance. They all jump in unison. 
38,A shadowy person stands on the side of the screen staring into the camera. 
39,A woman is getting a tattoo on her calf by an man at a tattoo shop.
40,"On a ferris wheel, one can hear and see bits of an amusement park or carnival. "
41,Looking at a restaurant two people are ordering food at the counter. Staff members walk behind the counter. 
42,"In a movie theatre, people walk in and around the room to go to their movie room."
43,"In a barn, little puppies walk around, play with each other and make small noises."
44,Looking at and into a dark rocky tunnel
45,"In a church, a casket sits at the front of the stage. No person sits in the chairs. "
46,"In a church, a large amount of people sit with paper in their hands as they watch a choir and their conductor sing."
47,"In a surgical room, a person is being operated on. The doctors and nurses talk to each other. "
48,"In a grocery store a person walks down an isle, picks up a small green box, reads the box, and puts it in their basket. "
49,In a park in a city. The grass and trees are green. Cars drive by. 
50,"Armed people in black with guns are surrounding a door down a hall. There is a loud bang and the armed people run behind a wall. The door shuts and the armed people talk loud and point their guns towards it. A person in blue, leans against another wall the entire time. "
51,A woman is practicing shooting a gun at a virtual reality simulation with two other people. The gun makes a large bang sound. 
52,Looking at a winter landscape with trees and open land. 
53,People sit on rocks in a park that looks towards the tall buildings of a city. 
54,"In a basement, a man plays drums well. He is surrounded by other instruments and drum kits."
55,A man stands by a table loading a gun. There are a lot of guns on racks around him. He is in room that looks to be a gun shop.
56,At a workout class. There is a man that is on a stage teaching the small class of women. They are doing excertises with a bar over their shoulders. They do squats and lunges. Music plays. 
57,"A woman sits on a mattress, bottle feeding a baby perched up on a pillow."
58,On a bridge platform looking down on houses and trees in the distance. There seems to be an old building sculpture on the side of the platform. 
59,"At a train station, people with suitcases walk off and away from the train. Another train arrives at the station. "
60,"In a dark small room where two candles light the space. There seems to be movement and sounds, but one cannot see where the sounds are coming from. "
61,During the winter a person is trying to shovel their car out of the snow. The person continuously shovels the snow and puts it somewhere behind the car. 
62,"At a kennel, a dog is locked up behind metal bars. The dog barks a lot and wags its tail."
63,On a sunny day at a white sand beach. Small waves crash on the shore. Some people sit under blue umbrellas. 
64,A woman plays the piano that overlooks an open window that seeing the tops of other houses/buildings. 
65,"At a kennel, cats are in cages. They meow continuously and walk around their cage. "
66,"At a kennel, cats are in cages. They walk around their cage and meow continuously. "
67,"On a field, chickens walk around, cluck, and peck at the ground. Some fly around in the background. "
68,"Downtown on a busy street overlooking lots of very large electronic billboards. People are walking around, taking pictures. Cars drive by on the street. "
69,"At a hair salon, a male is getting his hair cut by an older man. No one else is in the salon."
70,In an ambulance. A person lies on a gurney. One can hear their heart beat electronically. A medic takes notes. 
71,"In a room, pigs walk and run around in their kennels."
72,At a miniature golf course. Neon lights fill the room. A person hits the golf ball. 
73,A person is at an indoor gun range shooting towards a target multiple times.
74,A double decker red bus stops at a bus station and people walk onto the bus. 
75,A double decker red bus stops at an outdoor bus station and a person walks onto the bus. 
76,"In a white jail cell, one sees a bed, a closet, a desk, and a toilet. A small window with metal bars is above the bed."
77,A yellow helicopter slowly begins to land on a field near a building. 
78,Three men are in a bedroom continuously laughing together. 
1,"There is one toilet inside a room. There is a door to one side and a garbage can to the other side of the toilet. The toilet is in a divot in the white and blue tiled wall, like it is a stall, but there is no door in front of it."
2,There is a room with a lot of similar machinery. On some surfaces there are multiple dials. There are steps leading somewhere and on the roof near the steps are a large amount of tubes and valves.
3,"There is a large empty room in some sort of dining area. There are many white tables with red and blue seats. All tables of grey tablemats and a single plant with a pamphlet positioned to stand up. Some tables have cutlery while others do not. Other than the seats, and a distant wall with some colour, the room has neutral shades, the floor is black, and walls and roof are white."
4,"A man in a red checkered shirt sits at his bed on his phone. He stays on it for a moment before putting it to his bedside table, getting up from the bed and retrieving a remote from a table across the room. He uses the remote to turn on a wall mounted TV positioned in front and to the right of hid bed. He then sits back in bed with the remote in hand and begins pressing buttons on it."
5,"There is a white washroom covered in blood. The words RUN are written in blood on the wall above the toilet. Next to the toilet is what looks like a washing machine with a large pool of blood and an axe on top of it. There is blood also on the toilet seat, the sink, the mirror, most of the walls , the shower curtains and on the floor as well as leading up to the door."
6,"Pigeons are intitially within a shed on their perches, but start to fly down to some sort of feeder, one by one. As one of the pigeons flies down, something happens and causes the pigeons to fly away from the feeder and back up to their perches.There is an open doorway next to the pigeons feeder."
7,"A heavily armoured automatic door opens to reveal a person in an orange hazmat suit. Once the door fully opens the person steps out of the door and presses a button to close the door. Simultaneously an illuminated sign is flickering. The person waits for the door to close before proceeding onward to another button, once they press it another heavily armoured door begins to open."
8,There is a forest with some snow around. There are birds chirping the background. Some trees don't have leaves but the ones further and to the right are pine trees and still have theirs.
9,A firetruck and an accompanying red van are backing up into their respective spaces inside a fire station. The firetruck beeps and flashes its resversing lights as it backs into its unit. The yellow writing on the firetruck is not in English. 
10,"Two teams are playing soccer. One is wearing yellow jerseys the other is wearing orange.The ball is kicked towards one yellow team player and one orange team player. As the orange player positions to recieve the ball a yellow player fouls him and the referee calls this. The game stops momentarily, and the orange player stays on the ground for a moment before getting up. The orange team is awarded a freekick and another player wearing the number 5 takes it as the game resumes."
11,"There is a neighbourhood ahead and below. The view is as if the camera is positioned in a place high up. There are noises of construction in the background and there are two people below and to the right in a fenced off area. The streets look wet with rain and there is much overcast, making the scene gloomy."
12,"A person with long red hair is graffitiing a broken down building. The building is in terrible shape, the small tiled windows on the upper quarter are largely broken, there are vines overgrowing certain areas of the building as well. There is also some graffiti already on the building in blue, although small with the letters NbC. The person in the video continues to graffiti and takes a moment to look at it and shake the bottle of spray paint before continuing to add to it. They then take another pause before the video ends."
13,"There is a long tunnel, the roof is covered in white tiles and the wall is too although the tiles are different. A light approaches from the tunnel and comes closer. The source of the light is a person on a bike. They continue to move down the tunnel. Behind them are two people wearing black travelling down the tunnel."
14,"There is a large crowd inside some sort of gymnasium or event area surrounding a group of breakdancers. The lights are similar to a concerts, moving around to add to the preformance. There are large letters in fluorescent pink in the background. The breakdancers consist of 5 people, 4 in blue and 1 in white. One of the breakdancers in blue starts the preformance while the other 4 wait. once the initial part is done the other three start there routine while the 1 in white remains knelt. Eventually one of the three starts a solo portion and the others go to kneel with the one in white."
15,There is a very dark underpass with a person initially in frame of the camera but then moves off to the right into some forestry. A biker approaches and passes and a runner in a bright top comes from the opposing direction until they are scared and grabbed by the initial person. The runner screams but then starts to laugh as they are carried off camera.
16,"A person is walking on a trail in some shrubery with some trees around. As a person approaches from the other side of the trail where it is open greenery, the first person puts on a mask. They then position themselves behind a tree as the runner in a green top approaches. The masked individual then jumps out and grabs the runner as they scream. The masked person carries them behind the tree as the runner struggles to escape."
17,there is an indoor go kart track with a session going on. The racers pass by as their tires screech on the grey pavement. The track is outlined with black and green alternating borders.
18,"The room is largely white and cream coloured. there are 4 large storage doors and a silver trolly next to the doors. A person in a blue top and white pants with surgical gloves on comes into the room and opens one of the doors, revealing three trays with something bundled up inside a white back. The person pulls the middle tray slightly out and rests the door on the tray leaving it adjar and then leaves the room."
19,"5 people are walking through an automated sliding door, one of which is on a stretcher. A person in a bright red jacket and black pants leads the group, while another person in a bright yellow and red jacket and pants pulls the stretcher along. Once they pass through the first door another person in a red jacket and black pants begins to push the stretcher towards the other door. The second door reads STOP in red words, all other words are in a foreign language. The remaining two people are wearing yellow and red jackets and pants and accompany the stretcher as they move along."
20,A person in a white lab coat sits on a chair and uses a machine to examine another persons eye. The other person sits across and is wearing a black top. The room they are in is largely neutral in colours. The door is open and says 14 in yellow. The person in the lab coat moves the machine from one eye to the other before adjusting both the machine and the man being examined before looking back into the machine.
21,"There is a neutrally toned room and corridor with a doorway ahead that is bright green. Through the doorway, a person in black is standing and starts to moves to one side of a mat on the floor. A person ahead of that person in a blue top and white pants is struggling to do something, so the person in black comes back over to help. They begin to lift a person off something and onto the mat on the floor. Simultaneously, a person in a red jacket, blue shirt and white pants and another person in a cream top and black pants come out from seperate areas and walk to two seperate areas. The person in the cream top turns off a rooms light and turns it back on as she starts to look through the room. The person in the red, blue and white does something at some sort of moving cabinet before going back to where she came from. Meanwhile in the other room, there are actually 4-5 people besides for the person unconscious. All of which wearing the blue top and white pants except for the one in black."
22,"There is a person standing outside of a building during night. The person is wearing white and begins to light something in their mouth. Once they accomplish this, they put the lighter in their bag as they start to cough prefusely. Still coughing they sling the bag over their shoulder and begin to walk out of frame."
24,"A person in blue jeans, a black jacket and white shirt wearing a bag walks across the street during a sunny day. A bell chimes in the background. The street is made of bricks and the architecture of the buildings is foreign to Canada."
25,"A person is doing a dance routine in a gymnasium. The gymnasium has a wooden floor and has poles throughout it. The person dancing is initially upside down in a hand stand position, dancing with their legs. As the music shifts and stops the person turns upright and continues their routine as the music begins once more."
26,"Two horses, one white and one brown are outside a brick barn but are contained by a fence. The trees are all leafless and the leaves are dead and on the grass surrounding the area. The barn is weathered and the fence is just a short vertical post connected to a longer horizontal post."
